,所属城市,所属城市英文,机场名称,机场英文名称,三字代码,四字代码,标准地址,国家,省份,城市,经度,纬度
77,阿坝,Aba,阿坝红原机场,Hongyuan Airport,AHJ,,四川省阿坝藏族羌族自治州红原县红原机场,中国,四川省,阿坝藏族羌族自治州,102.354863,32.529552
78,汉中,Hanzhong,汉中城固机场,Hanzhong Airport,HZG,ZLHZ,陕西省汉中市城固县城固机场,中国,陕西省,汉中市,107.207457,33.13159
79,井冈山,Ji'an,井冈山机场,Jinggangshan Airport,JGS,ZSGS,江西省吉安市泰和县井冈山机场,中国,江西省,吉安市,114.74263700000002,26.853317999999998
80,连云港,Lianyungang,连云港白塔埠机场,Lianyungang Airport,LYG,ZSLG,江苏省连云港市东海县白塔埠机场,中国,江苏省,连云港市,118.881953,34.57073
81,东营,Dongying,东营胜利机场,Dongying Shengli Airport,DOY,ZSDY,山东省东营市垦利区东营胜利机场,中国,山东省,东营市,118.79221299999999,37.506096
82,舟山,Zhoushan,舟山普陀山机场,Zhoushan Airport,HSN,ZSZS,浙江省舟山市普陀区普陀山机场,中国,浙江省,舟山市,122.365,29.932369
83,连城,Longyan,福建龙岩冠豸山机场,Longyan Guanzhishan Airport,LCX,ZSLD,福建省龙岩市连城县冠豸山机场,中国,福建省,龙岩市,116.751348,25.672421
84,临沂,Linyi,临沂沭埠岭机场,Shubuling Airport,LYI,ZSLY,山东省临沂市河东区临沂沭埠岭机场,中国,山东省,临沂市,118.416393,35.048549
85,恩施,Enshi,恩施许家坪机场,Enshi Airport,ENH,ZHES,湖北省恩施土家族苗族自治州恩施市许家坪机场,中国,湖北省,恩施土家族苗族自治州,109.489898,30.319128999999997
86,广汉,Civil Aviation Flight University of China,广汉机场,Guanghan Airport,GHN,ZUGH,四川省德阳市广汉市广汉机场,中国,四川省,德阳市,104.331644,30.945953000000003
87,南充,Nanchong,南充高坪机场,Nanchong Airport,NAO,ZUNC,四川省南充市高坪区南充高坪机场,中国,四川省,南充市,106.168002,30.793442
88,宜春,Yichun,宜春明月山机场,Yichun Mingyueshan Airport,YIC,ZSYC,江西省宜春市袁州区明月山机场,中国,江西省,宜春市,114.310973,27.798362
89,湛江,Zhanjiang,湛江国际机场,Zhanjiang International Airport,,,广东省湛江市霞山区湛江国际机场,中国,广东省,湛江市,110.36350700000001,21.212951999999998
90,洛阳,Luoyang,洛阳北郊机场,Luoyang Airport,LYA,ZHLY,河南省洛阳市老城区洛阳北郊机场,中国,河南省,洛阳市,112.393628,34.739214000000004
91,百色,Baise,百色巴马机场,Baise Youjiang Airport,AEB,ZGBS,广西壮族自治区百色市田阳县巴马机场,中国,广西壮族自治区,百色市,106.96485200000001,23.718051000000003
92,池州,Chizhou,池州九华山机场,Jiuhuashan Airport,JUH,,安徽省池州市贵池区九华山机场,中国,安徽省,池州市,117.68788899999998,30.736290999999998
93,长治,Changzhi,长治王村机场,Changzhi Airport,CIH,ZBCZ,山西省长治市郊区长治王村机场,中国,山西省,长治市,113.131759,36.247454
94,常德,Changde,常德桃花源机场,Changde Airport,CGD,ZGCD,湖南省常德市鼎城区常德桃花源机场,中国,湖南省,常德市,111.643672,28.916307
95,柳州,Liuzhou,柳州白莲机场,Bailian Airport,LZH,ZGZH,广西壮族自治区柳州市柳江区柳州白莲机场,中国,广西壮族自治区,柳州市,109.39798200000001,24.204221
96,怀化,Huaihua,怀化芷江机场,Zhijiang Airport,HJJ,ZGCJ,湖南省怀化市芷江侗族自治县芷江机场,中国,湖南省,怀化市,109.708294,27.440203999999998
97,阜阳,Fuyang,阜阳西关机场,Fuyang Xiguan Airport,FUG,ZSFY,安徽省阜阳市颍州区西关机场,中国,安徽省,阜阳市,115.74429199999999,32.877663
98,昭通,Zhaotong,昭通机场,Zhaotong Airport,ZAT,ZPZT,云南省昭通市昭阳区昭通机场,中国,云南省,昭通市,103.757591,27.323463
99,广元,Guangyuan,广元盘龙机场,Guangyuan Airport,GYS,ZUGU,四川省广元市利州区广元盘龙机场,中国,四川省,广元市,105.699621,32.388634
100,临汾,Linfen,临汾乔李机场,Linfen Qiaoli Airport,LFQ,ZBLF,山西省临汾市尧都区乔李机场,中国,山西省,临汾市,111.645703,36.133567
101,克拉玛依,Karamay,克拉玛依机场,Karamay Airport,KRY,ZWKM,新疆维吾尔自治区克拉玛依市克拉玛依区克拉玛依机场,中国,新疆维吾尔自治区,克拉玛依市,84.956487,45.46725
102,长海,Changhai,大连长海机场,Changhai Airport,CNI,ZYCH,辽宁省大连市长海县长海机场,中国,辽宁省,大连市,122.67189099999999,39.267495000000004
103,佳木斯,Jiamusi,佳木斯东郊机场,Jiamusi Airport,JMU,ZYJM,黑龙江省佳木斯市郊区东郊机场,中国,黑龙江省,佳木斯市,130.470015,46.845786
104,上饶,Shangrao,上饶三清山机场,Shangrao Sanqingshan Airport Airport,,,江西省上饶市信州区三清山机场,中国,江西省,上饶市,117.969176,28.380447999999998
105,邯郸,Handan,邯郸机场,Handan Airport,HDG,ZBHD,河北省邯郸市邯山区邯郸机场,中国,河北省,邯郸市,114.43111499999999,36.524747
106,嘉峪关,Jiayuguan,嘉峪关机场,Jiayuguan Airport,JGN,ZLJQ,甘肃省嘉峪关市嘉峪关机场,中国,甘肃省,嘉峪关市,98.340252,39.860634000000005
107,赤峰,Chifeng,赤峰玉龙机场,Chifeng Airport,CIF,ZBCF,内蒙古自治区赤峰市喀喇沁旗赤峰玉龙机场,中国,内蒙古自治区,赤峰市,118.846745,42.159704
108,景德镇,Jingdezhen,景德镇罗家机场,Jingdezhen Airport,JDZ,ZSJD,江西省景德镇市浮梁县罗家机场,中国,江西省,景德镇市,117.181706,29.336129
109,达县,Dazhou,达州河市机场,Dachuan Airport,DAX,ZUDX,四川省达州市达川区达州河市机场,中国,四川省,达州市,107.433978,31.12872
110,牡丹江,Mudanjiang,牡丹江海浪机场,Mudanjiang Hailang International Airport,MDG,ZYMD,黑龙江省牡丹江市西安区牡丹江海浪机场,中国,黑龙江省,牡丹江市,129.576422,44.529092
111,齐齐哈尔,Qiqihar,齐齐哈尔三家子机场,Qiqihar Sanjiazi Airport,NDG,ZYQQ,黑龙江省齐齐哈尔市龙沙区三家子机场,中国,黑龙江省,齐齐哈尔市,123.924645,47.24241
112,长白山,Baishan,长白山机场,Changbaishan Airport,NBS,,吉林省白山市抚松县长白山机场,中国,吉林省,白山市,127.609276,42.069066
113,佛山,Foshan,佛山沙堤机场,Foshan Shadi Airport,FUO,ZGFS,广东省佛山市南海区佛山沙堤机场,中国,广东省,佛山市,113.07598300000001,23.080913
114,腾冲,Tengchong,腾冲驼峰机场,Tengchong Tuofeng Airport,TCZ,ZUTC,云南省保山市腾冲市驼峰机场,中国,云南省,保山市,98.48634200000001,24.935712
115,库尔勒,Korla,库尔勒机场,Korla Airport,KRL,ZWKL,新疆维吾尔自治区巴音郭楞蒙古自治州库尔勒市库尔勒机场,中国,新疆维吾尔自治区,巴音郭楞蒙古自治州,86.142837,41.618704
116,WONAN,Wang-an,望安机场,Wang-an Airport,WOT,RCWA,台湾省望安机场,中国,台湾省,[],119.50360900000001,23.369167
117,和田,Hotan,和田机场,Hotan Airport,HTN,ZWTN,新疆维吾尔自治区和田地区和田市和田机场,中国,新疆维吾尔自治区,和田地区,79.868983,37.038007
118,安顺,Anshun,安顺黄果树机场,Anshun Huangguoshu Airport,AVA,ZUAS,贵州省安顺市西秀区黄果树机场,中国,贵州省,安顺市,105.878569,26.257038
119,黎平,Liping,黎平机场,Liping Airport,HZH,ZUNP,贵州省黔东南苗族侗族自治州黎平县黎平机场,中国,贵州省,黔东南苗族侗族自治州,109.155274,26.318971
120,喀什,Kashgar,喀什机场,Kashgar Airport,KHG,ZWSH,新疆维吾尔自治区喀什地区喀什市喀什机场,中国,新疆维吾尔自治区,喀什地区,76.025886,39.540737
121,金昌市,Jinchang,金昌金川机场,Jinchuan Airport,JIC,ZLJC,甘肃省金昌市金川区金川机场,中国,甘肃省,金昌市,102.35054000000001,38.541918
122,武夷山,Wuyishan,武夷山机场,Nanping Wuyishan Airport,WUS,ZSWY,福建省南平市武夷山市武夷山机场,中国,福建省,南平市,118.00537,27.700279
123,格尔木,Golmud,格尔木机场,Golmud Airport,GOQ,ZLGM,青海省海西蒙古族藏族自治州格尔木市格尔木机场,中国,青海省,海西蒙古族藏族自治州,94.788436,36.401596000000005
124,阿克苏,Aksu,阿克苏机场,Aksu Airport,AKU,ZWAK,新疆维吾尔自治区阿克苏地区阿克苏市阿克苏机场,中国,新疆维吾尔自治区,阿克苏地区,80.293103,41.263252
125,攀枝花,Panzhihua,攀枝花保安营机场,Baoanying Airport,PZI,ZUZH,四川省攀枝花市仁和区保安营机场,中国,四川省,攀枝花市,101.799974,26.537096000000002
126,唐山,Tangshan,唐山三女河机场,Tangshan Sannühe Airport,TVS,ZBTS,河北省唐山市路南区三女河机场,中国,河北省,唐山市,118.187308,39.624251
127,黔江,Qianjiang,黔江武陵山机场,Qianjiang Wulingshan Airport,JIQ,,重庆市黔江区武陵山机场,中国,重庆市,重庆市,108.83538999999999,29.511777000000002
128,阿勒泰,Altay,阿勒泰机场,ALTAY Airport,AAT,ZWAT,新疆维吾尔自治区阿勒泰地区阿勒泰市阿勒泰机场,中国,新疆维吾尔自治区,阿勒泰地区,88.0869,47.751758
129,思茅,Simao,普洱思茅机场,Simao Airport,SYM,ZPSM,云南省普洱市思茅区普洱思茅机场,中国,云南省,普洱市,100.96042,22.79102
130,迪庆,Shangri-La,迪庆香格里拉机场,Diqing Airport,DIG,ZPDQ,云南省迪庆藏族自治州香格里拉市香格里拉机场,中国,云南省,迪庆藏族自治州,99.682864,27.793745
131,固原,Guyuan,固原六盘山机场,Guyuan Liupanshan Airport,GYU,ZLGY,宁夏回族自治区固原市原州区六盘山机场,中国,宁夏回族自治区,固原市,106.22196799999999,36.078277
132,西昌,Xichang,西昌青山机场,Xichang Qingshan Airport,XIC,ZUXC,四川省凉山彝族自治州西昌市西昌青山机场,中国,四川省,凉山彝族自治州,102.187014,27.984247999999997
133,大同,Datong,大同机场,Datong Airport,DAT,ZBDT,山西省大同市城区大同机场,中国,山西省,大同市,113.301667,40.072480999999996
134,通辽,Tongliao,通辽机场,Tongliao Airport,TGO,ZBTL,内蒙古自治区通辽市科尔沁区通辽机场,中国,内蒙古自治区,通辽市,122.20636599999999,43.559325
135,朝阳,Chaoyang,朝阳机场,Chaoyang Airport,CHG,ZYCY,辽宁省朝阳市双塔区朝阳机场,中国,辽宁省,朝阳市,120.44018999999999,41.541983
136,潍坊,Weifang,潍坊机场,Weifang Airport,WEF,ZSWF,山东省潍坊市奎文区潍坊机场,中国,山东省,潍坊市,119.12236200000001,36.646822
137,九江,Jiujiang,九江庐山机场,Jiujiang Lushan Airport,JIU,ZSJJ,江西省九江市柴桑区庐山机场,中国,江西省,九江市,115.80708899999999,29.476588
138,梧州,Wuzhou,梧州长洲岛机场,Changzhoudao Airport,WUZ,ZGWZ,广西壮族自治区梧州市长洲区长洲岛机场,中国,广西壮族自治区,梧州市,111.25345300000001,23.454392000000002
139,七美,Chi Mei,七美机场,Chi Mei Airport,CMJ,,台湾省七美机场,中国,台湾省,[],119.417801,23.212301
140,阿尔山,Arxan,阿尔山伊尔施机场,Arxan Yi'ershi Airport,YIE,ZBES,内蒙古自治区兴安盟阿尔山市伊尔施机场,中国,内蒙古自治区,兴安盟,119.91946899999999,47.312174
141,芒市,Luxi,芒市机场,Mangshi Airport,LUM,ZPLX,云南省德宏傣族景颇族自治州芒市芒市机场,中国,云南省,德宏傣族景颇族自治州,98.53129799999999,24.402568
142,安庆,Anqing,安庆天柱山机场,Anqing Airport,AQG,ZSAQ,安徽省安庆市宜秀区天柱山机场,中国,安徽省,安庆市,117.05541200000002,30.580776
143,保山,Baoshan,保山云瑞机场,Baoshan Airport,BSD,ZPBS,云南省保山市隆阳区保山云瑞机场,中国,云南省,保山市,99.168267,25.049192
144,阿里地区狮泉河镇,Shiquanhe,阿里昆莎机场,Ngari Gunsa Airport,NGQ,ZUAL,西藏自治区阿里地区噶尔县阿里昆莎机场,中国,西藏自治区,阿里地区,80.05555799999999,32.099596999999996
145,,Hengchung,恒春机场,Hengchun Airport,HCN,RCKW,台湾省恒春机场,中国,台湾省,[],120.73355900000001,22.039919
146,昌都,Bangda,昌都邦达机场,Qamdo Bangda Airport,BPX,ZUBD,西藏自治区昌都市八宿县昌都邦达机场,中国,西藏自治区,昌都市,97.111194,30.548892
147,中卫,Zhongwei,中卫沙坡头机场,Zhongwei Shapotou Airport,ZHY,ZLZW,宁夏回族自治区中卫市沙坡头区沙坡头机场,中国,宁夏回族自治区,中卫市,105.15811799999999,37.573264
148,库车,Kuqa,库车龟兹机场,Kuqa Airport,KCA,ZWKC,新疆维吾尔自治区阿克苏地区库车县库车龟兹机场,中国,新疆维吾尔自治区,阿克苏地区,82.87666800000001,41.679860999999995
149,锡林浩特,Xilinhot,锡林浩特机场,Xilinhot Airport,XIL,ZBXH,内蒙古自治区锡林郭勒盟锡林浩特市锡林浩特机场,中国,内蒙古自治区,锡林郭勒盟,115.966127,43.914561
150,安康,Ankang,安康机场,Ankang Airport,AKA,ZLAK,陕西省安康市汉滨区安康机场,中国,陕西省,安康市,108.937223,32.705176
151,玉树,Yushu,玉树巴塘机场,Yushu Batang Airport,YUS,ZLYS,青海省玉树藏族自治州玉树市玉树巴塘机场,中国,青海省,玉树藏族自治州,97.03723199999999,32.834887
152,乌海,Wuhai,乌海机场,Wuhai Airport,WUA,ZBUH,内蒙古自治区乌海市海勃湾区乌海机场,中国,内蒙古自治区,乌海市,106.80503799999998,39.794299
153,黑河,Heihe,黑河瑷珲机场,Heihe Airport,HEK,ZYHE,黑龙江省黑河市爱辉区黑河瑷珲机场,中国,黑龙江省,黑河市,127.316594,50.174707
154,哈密,Hami,哈密机场,Hami Airport,HMI,ZWHM,新疆维吾尔自治区哈密市伊州区哈密机场,中国,新疆维吾尔自治区,哈密市,93.664048,42.843005
155,塔城,Tacheng,塔城机场,Tacheng Airport,TCG,ZWTC,新疆维吾尔自治区塔城地区塔城市塔城机场,中国,新疆维吾尔自治区,塔城地区,83.346901,46.672509999999996
156,大足,Dazu,大足登云机场,Dazu Air Base Airport,DZU,ZUDZ,重庆市大足区登云机场,中国,重庆市,重庆市,105.775148,29.633840999999997
157,且末,Qiemo,且末机场,Qiemo Airport,IQM,ZWCM,新疆维吾尔自治区巴音郭楞蒙古自治州且末县且末机场,中国,新疆维吾尔自治区,巴音郭楞蒙古自治州,85.53489,38.149889
158,香港,Hong Kong,香港国际机场,Hong Kong International Kai Tak Airport,HKG,VHHH,香港特别行政区香港特别行政区離島區香港国际机场,中国,香港特别行政区,香港特别行政区,113.94251499999999,22.313335000000002
159,WONAN,Wang-an,望安机场,Wang-an Airport,WOT,RCWA,台湾省望安机场,中国,台湾省,[],119.50360900000001,23.369167
160,七美,Chi Mei,七美机场,Chi Mei Airport,CMJ,,台湾省七美机场,中国,台湾省,[],119.417801,23.212301
161,,Hengchung,恒春机场,Hengchun Airport,HCN,RCKW,台湾省恒春机场,中国,台湾省,[],120.73355900000001,22.039919
